world,mode,seed,declared_horizon,intervention_cycle,n_f,failed,first_failure_cycle,first_failure_signature,same_failure_returned,same_failure_return_cycle,cycles_until_same_failure_returns,correct_decisions_post_handoff,decision_opportunities_post_handoff,post_handoff_decision_accuracy,policy_violations,final_config_accuracy,final_requirement_accuracy,retained_retry_demand,retained_latency_floor,retained_risk_tolerance,retained_memory_horizon,retained_handoff_depth,retained_token_capacity,packet_bytes,packet_tokens,evidence_reads,accepted_handoffs,rejected_handoffs,undecidable_handoffs
stateful_task,continuous_control,9118,320,80,128,1,128,configuration_error|required_state_loss,1,144,16,33,241,0.1369294606,0,0.6666666667,0.1666666667,0,0,0,0,0,1,0,0,0,0,0,0
stateful_task,empty_reset,9118,320,80,80,1,80,configuration_error|required_state_loss,1,208,128,0,241,0.0,11,0.6666666667,0.3333333333,0,0,0,0,1,1,45,17,0,1,0,0
stateful_task,full_history_handoff,9118,320,80,128,1,128,configuration_error|required_state_loss,1,144,16,33,241,0.1369294606,0,0.6666666667,0.1666666667,0,0,0,0,0,1,19876,4356,0,1,0,0
stateful_task,unsigned_minimal_handoff,9118,320,80,192,1,192,required_state_loss,1,256,64,104,241,0.4315352697,0,0.8333333333,0.3333333333,0,0,0,0,1,1,1942,555,0,1,0,0
stateful_task,olp_handoff,9118,320,80,192,1,192,required_state_loss,1,256,64,104,241,0.4315352697,0,0.8333333333,0.3333333333,0,0,0,0,1,1,7270,1597,5,1,0,0
stateful_task,continuous_control,9119,320,80,80,1,80,required_state_loss,1,96,16,13,241,0.0539419087,0,0.4166666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9119,320,80,80,1,80,configuration_error|required_state_loss,1,224,144,0,241,0.0,11,0.6666666667,0.0,0,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9119,320,80,80,1,80,required_state_loss,1,96,16,13,241,0.0539419087,0,0.4166666667,0.0,0,0,0,0,0,0,19902,4369,0,1,0,0
stateful_task,unsigned_minimal_handoff,9119,320,80,80,1,80,required_state_loss,1,96,16,0,241,0.0,0,0.5,0.0,0,0,0,0,0,0,2008,577,0,1,0,0
stateful_task,olp_handoff,9119,320,80,80,1,80,required_state_loss,1,96,16,0,241,0.0,0,0.5,0.0,0,0,0,0,0,0,7336,1615,5,1,0,0
stateful_task,continuous_control,9120,320,80,128,1,128,required_state_loss,1,144,16,41,241,0.1701244813,0,0.3333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9120,320,80,80,1,80,configuration_error|required_state_loss,1,192,112,0,241,0.0,11,0.5833333333,0.0,0,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9120,320,80,128,1,128,required_state_loss,1,144,16,41,241,0.1701244813,0,0.3333333333,0.0,0,0,0,0,0,0,19874,4363,0,1,0,0
stateful_task,unsigned_minimal_handoff,9120,320,80,123,1,123,invariant_failure,1,131,8,90,241,0.3734439834,0,0.5833333333,0.0,0,0,0,0,0,0,1948,559,0,1,0,0
stateful_task,olp_handoff,9120,320,80,123,1,123,invariant_failure,1,131,8,90,241,0.3734439834,0,0.5833333333,0.0,0,0,0,0,0,0,7276,1599,5,1,0,0
stateful_task,continuous_control,9121,320,80,128,1,128,required_state_loss,1,144,16,37,241,0.153526971,0,0.4166666667,0.1666666667,0,1,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9121,320,80,80,1,80,configuration_error|required_state_loss,1,240,160,0,241,0.0,11,0.3333333333,0.1666666667,0,0,0,0,0,1,45,17,0,1,0,0
stateful_task,full_history_handoff,9121,320,80,128,1,128,required_state_loss,1,144,16,37,241,0.153526971,0,0.4166666667,0.1666666667,0,1,0,0,0,0,19879,4356,0,1,0,0
stateful_task,unsigned_minimal_handoff,9121,320,80,160,1,160,required_state_loss,1,176,16,78,241,0.3236514523,0,0.3333333333,0.1666666667,0,0,0,0,0,1,1946,557,0,1,0,0
stateful_task,olp_handoff,9121,320,80,160,1,160,required_state_loss,1,176,16,78,241,0.3236514523,0,0.3333333333,0.1666666667,0,0,0,0,0,1,7274,1633,5,1,0,0
stateful_task,continuous_control,9122,320,80,96,1,96,required_state_loss,1,112,16,3,241,0.0124481328,0,0.5,0.1666666667,0,0,0,0,0,1,0,0,0,0,0,0
stateful_task,empty_reset,9122,320,80,80,1,80,configuration_error|required_state_loss,1,272,192,0,241,0.0,11,0.5833333333,0.0,0,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9122,320,80,96,1,96,required_state_loss,1,112,16,3,241,0.0124481328,0,0.5,0.1666666667,0,0,0,0,0,1,19879,4362,0,1,0,0
stateful_task,unsigned_minimal_handoff,9122,320,80,192,1,192,required_state_loss,1,208,16,98,241,0.4066390041,0,0.5833333333,0.0,0,0,0,0,0,0,1948,555,0,1,0,0
stateful_task,olp_handoff,9122,320,80,192,1,192,required_state_loss,1,208,16,98,241,0.4066390041,0,0.5833333333,0.0,0,0,0,0,0,0,7276,1615,5,1,0,0
stateful_task,continuous_control,9123,320,80,112,1,112,configuration_error|required_state_loss,1,128,16,22,241,0.0912863071,0,0.6666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9123,320,80,80,1,80,configuration_error|required_state_loss,1,240,160,0,241,0.0,11,0.9166666667,0.1666666667,1,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9123,320,80,112,1,112,configuration_error|required_state_loss,1,128,16,22,241,0.0912863071,0,0.6666666667,0.0,0,0,0,0,0,0,19882,4356,0,1,0,0
stateful_task,unsigned_minimal_handoff,9123,320,80,176,1,176,required_state_loss,1,192,16,95,241,0.3941908714,0,0.9166666667,0.1666666667,1,0,0,0,0,0,1944,555,0,1,0,0
stateful_task,olp_handoff,9123,320,80,176,1,176,required_state_loss,1,192,16,95,241,0.3941908714,0,0.9166666667,0.1666666667,1,0,0,0,0,0,7272,1615,5,1,0,0
stateful_task,continuous_control,9124,320,80,92,1,92,invariant_failure,0,0,0,21,241,0.0871369295,0,0.3333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9124,320,80,80,1,80,configuration_error|required_state_loss,1,272,192,0,241,0.0,11,0.4166666667,0.1666666667,0,1,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9124,320,80,92,1,92,invariant_failure,0,0,0,21,241,0.0871369295,0,0.3333333333,0.0,0,0,0,0,0,0,19899,4371,0,1,0,0
stateful_task,unsigned_minimal_handoff,9124,320,80,92,1,92,invariant_failure,0,0,0,71,241,0.2946058091,0,0.3333333333,0.0,0,0,0,0,0,0,1952,559,0,1,0,0
stateful_task,olp_handoff,9124,320,80,92,1,92,invariant_failure,0,0,0,71,241,0.2946058091,0,0.3333333333,0.0,0,0,0,0,0,0,7280,1621,5,1,0,0
stateful_task,continuous_control,9125,320,80,112,1,112,required_state_loss,1,128,16,22,241,0.0912863071,0,0.6666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9125,320,80,80,1,80,configuration_error|required_state_loss,1,192,112,0,241,0.0,11,0.6666666667,0.0,0,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9125,320,80,112,1,112,required_state_loss,1,128,16,22,241,0.0912863071,0,0.6666666667,0.0,0,0,0,0,0,0,19876,4361,0,1,0,0
stateful_task,unsigned_minimal_handoff,9125,320,80,192,1,192,configuration_error|required_state_loss,1,224,32,103,241,0.4273858921,0,0.6666666667,0.0,0,0,0,0,0,0,1946,557,0,1,0,0
stateful_task,olp_handoff,9125,320,80,192,1,192,configuration_error|required_state_loss,1,224,32,103,241,0.4273858921,0,0.6666666667,0.0,0,0,0,0,0,0,7274,1599,5,1,0,0
stateful_task,continuous_control,9126,320,80,80,1,80,invariant_failure,0,0,0,18,241,0.0746887967,0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9126,320,80,80,1,80,configuration_error|required_state_loss,1,256,176,0,241,0.0,11,0.5,0.0,0,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9126,320,80,80,1,80,invariant_failure,0,0,0,18,241,0.0746887967,0,0.5,0.0,0,0,0,0,0,0,19887,4365,0,1,0,0
stateful_task,unsigned_minimal_handoff,9126,320,80,80,1,80,invariant_failure,0,0,0,104,241,0.4315352697,0,0.4166666667,0.0,0,0,0,0,0,0,1946,559,0,1,0,0
stateful_task,olp_handoff,9126,320,80,80,1,80,invariant_failure,0,0,0,104,241,0.4315352697,0,0.4166666667,0.0,0,0,0,0,0,0,7274,1613,5,1,0,0
stateful_task,continuous_control,9127,320,80,80,1,80,required_state_loss,1,96,16,0,241,0.0,0,0.6666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9127,320,80,80,1,80,configuration_error|required_state_loss,1,320,240,0,241,0.0,11,0.6666666667,0.1666666667,0,0,0,0,1,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9127,320,80,80,1,80,required_state_loss,1,96,16,0,241,0.0,0,0.6666666667,0.0,0,0,0,0,0,0,19906,4367,0,1,0,0
stateful_task,unsigned_minimal_handoff,9127,320,80,80,1,80,required_state_loss,1,96,16,0,241,0.0,0,0.6666666667,0.0,0,0,0,0,0,0,2014,577,0,1,0,0
stateful_task,olp_handoff,9127,320,80,80,1,80,required_state_loss,1,96,16,0,241,0.0,0,0.6666666667,0.0,0,0,0,0,0,0,7342,1621,5,1,0,0
stateful_task,continuous_control,9128,320,80,96,1,96,required_state_loss,1,112,16,12,241,0.0497925311,0,0.3333333333,0.1666666667,0,0,0,0,0,1,0,0,0,0,0,0
stateful_task,empty_reset,9128,320,80,80,1,80,configuration_error|required_state_loss,1,224,144,0,241,0.0,11,0.5,0.1666666667,0,0,0,0,0,1,45,17,0,1,0,0
stateful_task,full_history_handoff,9128,320,80,96,1,96,required_state_loss,1,112,16,12,241,0.0497925311,0,0.3333333333,0.1666666667,0,0,0,0,0,1,19873,4354,0,1,0,0
stateful_task,unsigned_minimal_handoff,9128,320,80,208,1,208,required_state_loss,0,0,0,114,241,0.4730290456,0,0.3333333333,0.1666666667,0,0,0,0,0,1,1944,555,0,1,0,0
stateful_task,olp_handoff,9128,320,80,208,1,208,required_state_loss,0,0,0,114,241,0.4730290456,0,0.3333333333,0.1666666667,0,0,0,0,0,1,7272,1668,5,1,0,0
stateful_task,continuous_control,9129,320,80,96,1,96,required_state_loss,1,112,16,3,241,0.0124481328,0,0.4166666667,0.1666666667,1,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9129,320,80,80,1,80,configuration_error|required_state_loss,1,224,144,0,241,0.0,11,0.25,0.1666666667,0,0,0,1,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9129,320,80,96,1,96,required_state_loss,1,112,16,3,241,0.0124481328,0,0.4166666667,0.1666666667,1,0,0,0,0,0,19888,4358,0,1,0,0
stateful_task,unsigned_minimal_handoff,9129,320,80,176,1,176,required_state_loss,1,192,16,92,241,0.3817427386,0,0.25,0.1666666667,0,0,0,1,0,0,1944,557,0,1,0,0
stateful_task,olp_handoff,9129,320,80,176,1,176,required_state_loss,1,192,16,92,241,0.3817427386,0,0.25,0.1666666667,0,0,0,1,0,0,7272,1597,5,1,0,0
stateful_task,continuous_control,9130,320,80,96,1,96,required_state_loss,1,112,16,9,241,0.0373443983,0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9130,320,80,80,1,80,configuration_error|required_state_loss,1,224,144,0,241,0.0,11,0.5,0.1666666667,0,0,0,0,1,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9130,320,80,96,1,96,required_state_loss,1,112,16,9,241,0.0373443983,0,0.5,0.0,0,0,0,0,0,0,19881,4359,0,1,0,0
stateful_task,unsigned_minimal_handoff,9130,320,80,176,1,176,required_state_loss,1,192,16,84,241,0.3485477178,0,0.5,0.1666666667,0,0,0,0,1,0,1948,557,0,1,0,0
stateful_task,olp_handoff,9130,320,80,176,1,176,required_state_loss,1,192,16,84,241,0.3485477178,0,0.5,0.1666666667,0,0,0,0,1,0,7276,1599,5,1,0,0
stateful_task,continuous_control,9131,320,80,96,1,96,required_state_loss,0,0,0,9,241,0.0373443983,0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9131,320,80,80,1,80,configuration_error|required_state_loss,1,256,176,0,241,0.0,11,0.8333333333,0.1666666667,0,0,1,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9131,320,80,96,1,96,required_state_loss,0,0,0,9,241,0.0373443983,0,0.5,0.0,0,0,0,0,0,0,19875,4345,0,1,0,0
stateful_task,unsigned_minimal_handoff,9131,320,80,176,1,176,required_state_loss,0,0,0,81,241,0.3360995851,0,0.5833333333,0.0,0,0,0,0,0,0,1948,555,0,1,0,0
stateful_task,olp_handoff,9131,320,80,176,1,176,required_state_loss,0,0,0,81,241,0.3360995851,0,0.5833333333,0.0,0,0,0,0,0,0,7276,1615,5,1,0,0
stateful_task,continuous_control,9132,320,80,86,1,86,invariant_failure,1,123,37,23,241,0.0954356846,0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9132,320,80,80,1,80,configuration_error|required_state_loss,0,0,0,0,241,0.0,11,0.8333333333,0.0,0,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9132,320,80,86,1,86,invariant_failure,1,123,37,23,241,0.0954356846,0,0.5,0.0,0,0,0,0,0,0,19882,4358,0,1,0,0
stateful_task,unsigned_minimal_handoff,9132,320,80,86,1,86,invariant_failure,1,258,172,82,241,0.3402489627,0,0.6666666667,0.0,0,0,0,0,0,0,1946,559,0,1,0,0
stateful_task,olp_handoff,9132,320,80,86,1,86,invariant_failure,1,258,172,82,241,0.3402489627,0,0.6666666667,0.0,0,0,0,0,0,0,7274,1610,5,1,0,0
stateful_task,continuous_control,9133,320,80,128,1,128,configuration_error|required_state_loss,1,144,16,38,241,0.1576763485,0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9133,320,80,80,1,80,configuration_error|required_state_loss,1,224,144,0,241,0.0,11,0.5833333333,0.1666666667,0,0,0,0,0,1,45,17,0,1,0,0
stateful_task,full_history_handoff,9133,320,80,128,1,128,configuration_error|required_state_loss,1,144,16,38,241,0.1576763485,0,0.5,0.0,0,0,0,0,0,0,19863,4354,0,1,0,0
stateful_task,unsigned_minimal_handoff,9133,320,80,160,1,160,required_state_loss,1,176,16,66,241,0.2738589212,0,0.6666666667,0.1666666667,0,0,0,0,0,1,1942,555,0,1,0,0
stateful_task,olp_handoff,9133,320,80,160,1,160,required_state_loss,1,176,16,66,241,0.2738589212,0,0.6666666667,0.1666666667,0,0,0,0,0,1,7270,1611,5,1,0,0
stateful_task,continuous_control,9134,320,80,96,1,96,required_state_loss,1,112,16,10,241,0.0414937759,0,0.8333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
stateful_task,empty_reset,9134,320,80,80,1,80,configuration_error|required_state_loss,0,0,0,0,241,0.0,11,0.8333333333,0.0,0,0,0,0,0,0,45,17,0,1,0,0
stateful_task,full_history_handoff,9134,320,80,96,1,96,required_state_loss,1,112,16,10,241,0.0414937759,0,0.8333333333,0.0,0,0,0,0,0,0,19869,4343,0,1,0,0
stateful_task,unsigned_minimal_handoff,9134,320,80,177,1,177,invariant_failure,1,231,54,101,241,0.4190871369,0,0.8333333333,0.0,0,0,0,0,0,0,1940,551,0,1,0,0
stateful_task,olp_handoff,9134,320,80,177,1,177,invariant_failure,1,231,54,101,241,0.4190871369,0,0.8333333333,0.0,0,0,0,0,0,0,7268,1593,5,1,0,0
