schedule,seed,event_count,declared_horizon,last_event_time,failures,first_failure_event,n_f,mean_collision_burden,peak_collision_burden,damage_auc,peak_damage,final_event_damage,adjacent_conflict_count,conflicting_pair_count
conflict_aware,6214,20,69,69,0,,21,0.641933894,1.3882950894,7.559474556,0.6392006218,0.6392006218,7,51
clustered,6215,20,69,20,2,9,9,2.4994138016,6.7517961258,42.8750242592,3.7522307612,3.6097326803,4,55
random_sparse_a,6215,20,69,69,0,,21,0.8961552941,2.9963199479,10.3502549886,1.1582874882,0.4289974037,4,55
random_sparse_b,6215,20,69,69,0,,21,0.9378117321,3.8091388439,10.3880560635,1.1677484195,0.3864592298,4,55
ulam_spaced,6215,20,69,69,1,10,10,1.0738950648,4.4025039914,11.0237812448,1.5577696075,0.329851552,4,55
conflict_aware,6215,20,69,69,0,,21,0.6504477245,1.5003188051,7.3717975939,0.5899558671,0.5888785311,4,55
clustered,6216,20,69,20,6,4,4,2.9372496602,4.9974015937,48.0772127558,4.2848065293,4.2848065293,6,69
random_sparse_a,6216,20,69,69,2,4,4,1.1143500796,3.0235748498,13.3870557922,1.2589188752,0.3135745617,6,69
random_sparse_b,6216,20,69,69,1,4,4,0.9721712955,2.9165295596,10.4361041179,1.0264841387,0.697677301,6,69
ulam_spaced,6216,20,69,69,2,4,4,1.1224589962,4.590913556,13.2789453151,1.3766975233,0.2637231475,6,69
conflict_aware,6216,20,69,69,2,4,4,0.7330999917,1.7230475325,8.3265986532,0.581750027,0.581750027,6,69
clustered,6217,20,69,20,4,11,11,2.7201563769,6.548605477,43.5738386584,4.1242161382,4.1242161382,7,63
random_sparse_a,6217,20,69,69,4,11,11,0.9774931014,3.2257395284,11.3665058734,1.1046629035,0.3588459529,7,63
random_sparse_b,6217,20,69,69,4,11,11,0.9534379587,3.5759522532,10.3549459166,1.1071727075,0.5747391541,7,63
ulam_spaced,6217,20,69,69,2,12,12,1.0903020881,2.8645407828,11.8050418339,1.0838018282,0.3082719477,7,63
conflict_aware,6217,20,69,69,1,19,19,0.6741462805,1.5366542937,7.9000544416,0.5465591546,0.5465591546,7,63
clustered,6218,20,69,20,5,4,4,2.7691382594,5.8473950135,45.8247671296,4.0906512124,4.0486859978,8,66
random_sparse_a,6218,20,69,69,2,5,5,0.8579071256,3.6249872167,9.5835407274,1.0414736099,0.414116794,8,66
random_sparse_b,6218,20,69,69,4,4,4,0.8711489572,2.9919533865,9.8735982551,0.8958059832,0.4846657495,8,66
ulam_spaced,6218,20,69,69,3,4,4,1.0232960224,3.3605214908,12.0387421111,1.2993144068,0.2059456309,8,66
conflict_aware,6218,20,69,69,2,5,5,0.6166885118,1.1931335649,7.7502200657,0.5384241874,0.43664569,8,66
clustered,6219,20,69,20,6,11,11,2.9206850723,7.6688160557,39.0399779846,5.0593930111,5.0593930111,6,72
random_sparse_a,6219,20,69,69,1,15,15,0.9574504678,3.6909873281,10.4187360267,1.2013641882,0.5026373751,6,72
random_sparse_b,6219,20,69,69,0,,21,0.8796120881,2.7274082778,8.5601725114,0.9024984708,0.6984587343,6,72
ulam_spaced,6219,20,69,69,0,,21,0.7467746239,1.567549308,8.0266005962,0.6951707628,0.4816045753,6,72
conflict_aware,6219,20,69,69,0,,21,0.8061807389,1.9587387674,9.0923705435,0.862422529,0.3483122557,6,72
clustered,6220,20,69,20,5,5,5,2.6175350625,5.3878530051,37.3856080148,4.4157164545,4.4157164545,4,63
random_sparse_a,6220,20,69,69,3,5,5,0.8339636754,3.1695072779,9.9630839349,1.020085673,0.2279093965,4,63
random_sparse_b,6220,20,69,69,4,5,5,0.8722380965,3.1532471143,10.3555776772,1.3111615488,0.4817842688,4,63
ulam_spaced,6220,20,69,69,2,5,5,0.6790087488,1.5157165665,8.1374038958,0.7172558446,0.2740075659,4,63
conflict_aware,6220,20,69,69,3,5,5,0.6465385705,1.7124531074,8.0161517027,0.8220597236,0.3266567524,4,63
clustered,6221,20,69,20,6,9,9,2.5679914535,5.8370559815,39.1833437825,4.1233410133,4.1233410133,5,57
random_sparse_a,6221,20,69,69,2,12,12,1.0147560901,3.4812963668,10.8980019189,1.3877701383,0.4317191981,5,57
random_sparse_b,6221,20,69,69,2,12,12,0.9059368351,2.6639248167,9.8152859564,1.0070863546,0.7408540999,5,57
ulam_spaced,6221,20,69,69,1,12,12,0.9387583029,2.7657165665,10.5219317807,1.0884890899,0.3024977895,5,57
conflict_aware,6221,20,69,69,1,12,12,0.6854149771,1.7871745887,8.5593710383,0.6649245877,0.323410189,5,57
clustered,6222,20,69,20,7,3,3,3.6979374909,7.9095212778,55.9718290649,5.5611690146,5.5611690146,8,77
random_sparse_a,6222,20,69,69,3,3,3,1.3480645549,5.0327834476,12.7580902047,1.5771626338,0.8469759584,8,77
random_sparse_b,6222,20,69,69,3,3,3,1.5884021719,4.101282623,18.2130345263,1.3506471356,0.4307645093,8,77
ulam_spaced,6222,20,69,69,4,3,3,1.5983660134,5.0349654848,16.3415162317,1.7204712683,0.51878305,8,77
conflict_aware,6222,20,69,69,2,3,3,1.1155826454,2.3465748147,11.2401375399,0.9251525291,0.6878442918,8,77
