world,mode,seed,declared_horizon,n_f,failed,first_failure_cycle,survival_40,survival_80,survival_160,mean_active_context_tokens_40,mean_active_context_tokens_80,mean_active_context_tokens_160,peak_active_context_tokens,mean_checkpoint_accuracy_40,mean_checkpoint_accuracy_80,mean_checkpoint_accuracy_160,critical_omissions_40,critical_omissions_80,critical_omissions_160,critical_omission_rate_40,critical_omission_rate_80,critical_omission_rate_160,external_retrievals,successful_retrievals,quarantines,total_active_token_work,final_config_accuracy,final_requirement_accuracy
main,capsule_conflict_aware,7376,160,160,1,160,1,1,0,556.075,612.45,645.20625,1168,1.0,0.97916667,0.95833333,0,13,31,0.0,0.1625,0.19375,22,22,0,103233,0.8333333333,0.8333333333
pressure_disabled_null,continuous_full_history,7376,160,161,0,,1,1,1,1332.575,2374.4,4460.33125,8592,1.0,1.0,0.98958333,0,1,46,0.0,0.0125,0.2875,0,0,0,713653,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7376,160,160,1,160,1,1,0,576.775,623.925,657.58125,1157,1.0,1.0,0.984375,0,1,46,0.0,0.0125,0.2875,21,21,0,105213,0.8333333333,0.8333333333
main,continuous_full_history,7377,160,20,1,20,0,0,0,1346.3,2396.9125,4479.725,8649,0.71875,0.41666667,0.3203125,29,69,149,0.725,0.8625,0.93125,0,0,0,716756,0.1666666667,0.0
main,ordinary_summary_reset,7377,160,60,1,60,1,0,0,727.3,720.4125,716.975,1183,0.92708333,0.828125,0.8828125,16,54,101,0.4,0.675,0.63125,0,0,0,114716,1.0,1.0
main,verified_inheritance_capsule,7377,160,80,1,80,1,0,0,607.75,647.3625,668.025,1149,0.92708333,0.88020833,0.8984375,16,34,71,0.4,0.425,0.44375,26,24,2,106884,1.0,1.0
main,capsule_conflict_aware,7377,160,80,1,80,1,0,0,587.625,625.9875,649.6875,1151,0.97916667,0.92708333,0.921875,11,26,53,0.275,0.325,0.33125,25,23,2,103950,1.0,1.0
pressure_disabled_null,continuous_full_history,7377,160,161,0,,1,1,1,1346.3,2396.9125,4479.725,8649,0.9375,0.91145833,0.9453125,16,43,66,0.4,0.5375,0.4125,0,0,0,716756,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7377,160,80,1,80,1,0,0,597.3,647.9375,663.05,1167,0.9375,0.90104167,0.88541667,16,43,69,0.4,0.5375,0.43125,25,23,2,106088,1.0,1.0
main,continuous_full_history,7378,160,20,1,20,0,0,0,1333.875,2390.075,4480.14375,8635,0.86458333,0.609375,0.47135417,38,78,158,0.95,0.975,0.9875,0,0,0,716823,0.3333333333,0.0
main,ordinary_summary_reset,7378,160,40,1,40,0,0,0,714.875,716.075,716.14375,1173,0.91666667,0.78645833,0.78125,22,62,121,0.55,0.775,0.75625,0,0,0,114583,1.0,1.0
main,verified_inheritance_capsule,7378,160,161,0,,1,1,1,587.125,636.4,665.90625,1157,0.9375,0.96875,0.9296875,18,18,41,0.45,0.225,0.25625,21,21,0,106545,1.0,1.0
main,capsule_conflict_aware,7378,160,161,0,,1,1,1,584.425,624.0375,648.6875,1153,0.9375,0.96875,0.96875,20,21,36,0.5,0.2625,0.225,21,21,0,103790,1.0,1.0
pressure_disabled_null,continuous_full_history,7378,160,161,0,,1,1,1,1333.875,2390.075,4480.14375,8635,1.0,1.0,0.97135417,2,2,31,0.05,0.025,0.19375,0,0,0,716823,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7378,160,161,0,,1,1,1,586.225,635.95,666.46875,1179,1.0,1.0,0.96875,2,2,31,0.05,0.025,0.19375,21,21,0,106635,1.0,1.0
main,continuous_full_history,7379,160,20,1,20,0,0,0,1324.625,2387.725,4505.5625,8685,0.83333333,0.63541667,0.46354167,21,61,141,0.525,0.7625,0.88125,0,0,0,720890,0.4166666667,0.0
main,ordinary_summary_reset,7379,160,100,1,100,1,1,0,710.625,713.725,711.5625,1183,0.9375,0.94270833,0.88802083,16,34,88,0.4,0.425,0.55,0,0,0,113850,1.0,1.0
main,verified_inheritance_capsule,7379,160,160,1,160,1,1,0,590.925,640.1,660.325,1167,0.91666667,0.93229167,0.91666667,21,37,72,0.525,0.4625,0.45,23,22,0,105652,0.8333333333,0.8333333333
main,capsule_conflict_aware,7379,160,160,1,160,1,1,0,583.95,629.675,650.8,1143,0.94791667,0.95833333,0.9375,24,35,55,0.6,0.4375,0.34375,23,21,1,104128,0.8333333333,0.8333333333
pressure_disabled_null,continuous_full_history,7379,160,161,0,,1,1,1,1324.625,2387.725,4505.5625,8685,0.9375,0.96875,0.984375,14,14,23,0.35,0.175,0.14375,0,0,0,720890,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7379,160,160,1,160,1,1,0,583.275,634.25,656.25,1149,0.9375,0.96875,0.97916667,15,15,24,0.375,0.1875,0.15,22,21,0,105000,0.8333333333,0.8333333333
main,continuous_full_history,7380,160,20,1,20,0,0,0,1356.225,2422.625,4533.09375,8729,0.625,0.41145833,0.34375,30,70,150,0.75,0.875,0.9375,0,0,0,725295,0.1666666667,0.0
main,ordinary_summary_reset,7380,160,140,1,140,1,1,0,712.225,708.625,710.34375,1189,0.95833333,0.96875,0.953125,10,18,39,0.25,0.225,0.24375,0,0,0,113655,1.0,1.0
main,verified_inheritance_capsule,7380,160,120,1,120,1,1,0,584.475,631.65,656.60625,1142,0.95833333,0.96875,0.97916667,10,18,18,0.25,0.225,0.1125,22,22,1,105057,1.0,1.0
main,capsule_conflict_aware,7380,160,80,1,80,1,0,0,588.15,626.125,651.0125,1149,1.0,0.98958333,0.98958333,0,0,0,0.0,0.0,0.0,23,23,2,104162,1.0,1.0
pressure_disabled_null,continuous_full_history,7380,160,161,0,,1,1,1,1356.225,2422.625,4533.09375,8729,1.0,0.98958333,0.98177083,0,9,46,0.0,0.1125,0.2875,0,0,0,725295,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7380,160,161,0,,1,1,1,580.425,630.75,660.58125,1189,1.0,0.953125,0.9609375,0,26,79,0.0,0.325,0.49375,22,22,0,105693,1.0,1.0
main,continuous_full_history,7381,160,20,1,20,0,0,0,1366.4,2413.775,4514.38125,8652,0.72916667,0.5625,0.55989583,30,70,150,0.75,0.875,0.9375,0,0,0,722301,0.5,0.0
main,ordinary_summary_reset,7381,160,120,1,120,1,1,0,722.4,712.275,716.63125,1196,0.88541667,0.94270833,0.9296875,22,27,74,0.55,0.3375,0.4625,0,0,0,114661,1.0,1.0
main,verified_inheritance_capsule,7381,160,40,1,40,0,0,0,589.8,639.55,670.14375,1149,0.86458333,0.90104167,0.92708333,22,44,72,0.55,0.55,0.45,30,21,9,107223,1.0,1.0
main,capsule_conflict_aware,7381,160,40,1,40,0,0,0,592.65,632.25,663.15,1179,0.95833333,0.94791667,0.94791667,5,25,56,0.125,0.3125,0.35,31,20,12,106104,1.0,1.0
pressure_disabled_null,continuous_full_history,7381,160,161,0,,1,1,1,1366.4,2413.775,4514.38125,8652,0.875,0.93229167,0.96614583,14,25,29,0.35,0.3125,0.18125,0,0,0,722301,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7381,160,40,1,40,0,0,0,601.4,644.8,670.99375,1176,0.85416667,0.83854167,0.88541667,14,52,91,0.35,0.65,0.56875,31,22,8,107359,1.0,1.0
main,continuous_full_history,7382,160,20,1,20,0,0,0,1333.15,2392.1,4508.15,8679,0.96875,0.65625,0.4921875,20,60,140,0.5,0.75,0.875,0,0,0,721304,0.25,0.0
main,ordinary_summary_reset,7382,160,20,1,20,0,0,0,724.15,725.6,717.9,1196,0.91666667,0.875,0.90625,20,50,84,0.5,0.625,0.525,0,0,0,114864,1.0,0.8333333333
main,verified_inheritance_capsule,7382,160,20,1,20,0,0,0,608.1,655.825,665.9875,1207,0.82291667,0.79166667,0.86979167,20,54,83,0.5,0.675,0.51875,35,21,13,106558,1.0,1.0
main,capsule_conflict_aware,7382,160,20,1,20,0,0,0,592.4,647.8375,658.03125,1189,0.83333333,0.81770833,0.90885417,22,42,42,0.55,0.525,0.2625,42,21,22,105285,1.0,1.0
pressure_disabled_null,continuous_full_history,7382,160,161,0,,1,1,1,1333.15,2392.1,4508.15,8679,1.0,0.93229167,0.95572917,1,17,32,0.025,0.2125,0.2,0,0,0,721304,1.0,1.0
pressure_disabled_null,verified_inheritance_capsule,7382,160,20,1,20,0,0,0,584.75,628.3,654.9125,1183,0.84375,0.78645833,0.8828125,21,57,72,0.525,0.7125,0.45,36,23,13,104786,1.0,1.0
