world,mode,seed,declared_horizon,n_f,failed,first_failure_cycle,survival_160,survival_320,mean_active_context_tokens_160,mean_active_context_tokens_320,mean_checkpoint_accuracy_160,mean_checkpoint_accuracy_320,critical_omission_rate_160,critical_omission_rate_320,mean_epsilon_160,mean_epsilon_320,minimum_margin_160,minimum_margin_320,restorations,pruned_tokens,ecc_corrections,external_retrievals,quarantines,final_config_accuracy,final_requirement_accuracy
main,sham_retirement_85,8156,320,321,0,,1,1,701.60625,694.728125,0.9739583333333334,0.9557291666666666,0.625,0.75,0.5519094839054485,0.6267042073026444,0.12089210143794404,-0.15410019844114453,3,0,0,31,1,1.0,1.0
pressure_disabled_null,capsule_baseline,8156,320,321,0,,1,1,736.0125,742.61875,0.9765625,0.95703125,0.5625,0.71875,0.09325032927203135,0.10692393081148344,0.5518242502847237,0.5355784329247408,0,0,0,31,1,1.0,1.0
pressure_disabled_null,restoration_stack,8156,320,321,0,,1,1,728.1375,731.18125,0.9817708333333334,0.98046875,0.5,0.59375,0.0897967280806802,0.09659352352040397,0.7364897658314671,0.5804888622645921,0,240,7,31,1,1.0,1.0
main,capsule_baseline,8157,320,25,1,25,0,0,726.0625,740.609375,0.8802083333333334,0.8984375,0.84375,0.84375,0.634855435308384,0.7053758214710152,-0.200531732729889,-0.3213159996238064,0,0,0,28,1,1.0,1.0
main,scheduled_prune_80,8157,320,25,1,25,0,0,718.1875,729.171875,0.8802083333333334,0.8984375,0.84375,0.84375,0.6171611766536891,0.6797315248399134,-0.16020544829843297,-0.27586813428713297,0,240,0,28,1,1.0,1.0
main,fixed_retirement_85,8157,320,25,1,25,0,0,696.4375,694.703125,0.8958333333333334,0.9127604166666666,0.75,0.734375,0.5791329979334086,0.613136039869415,-0.08458935579725968,-0.20864562148405774,3,0,0,48,2,1.0,1.0
main,telemetry_breaker,8157,320,25,1,25,0,0,647.925,644.81875,0.8958333333333334,0.9088541666666666,0.65625,0.734375,0.45544233340598667,0.495594198134639,-0.12389086382774783,-0.24651338555681157,8,0,0,73,2,1.0,1.0
main,ecc_digest,8157,320,321,0,,1,1,726.0625,740.609375,0.9505208333333334,0.9427083333333334,0.65625,0.71875,0.5534935196148225,0.6500512125228617,0.050164507334151454,-0.32105266407558797,0,0,7,28,1,1.0,1.0
main,restoration_stack,8157,320,321,0,,1,1,652.725,635.853125,0.9583333333333334,0.9635416666666666,0.625,0.625,0.4329763825888387,0.45754121271768566,0.2862373636602654,-0.2238398588804238,7,240,7,70,3,1.0,1.0
main,sham_retirement_85,8157,320,25,1,25,0,0,696.4375,694.703125,0.8802083333333334,0.8984375,0.84375,0.84375,0.634855435308384,0.7053758214710152,-0.15920865580681198,-0.26495446116226784,3,0,0,28,1,1.0,1.0
