world,mode,schedule,seed,horizon_ticks,n_f_ticks,failed,first_failure_tick,disturbances_at_failure,final_disturbances_seen,mean_checkpoint_accuracy,minimum_checkpoint_accuracy,critical_omission_events,mean_critical_omissions,peak_critical_omissions,mean_active_context_tokens,peak_active_context_tokens,peak_instantaneous_rate,peak_rolling_rate_burden,synthetic_damage_auc,total_token_work,final_config_accuracy,final_requirement_accuracy
rate_sensitive,continuous_history,steady_load,8203,160,88,1,88,11,20,0.9010416667,0.5,7,0.5,2,603.325,1070,0.1666666667,3.8769041021,57.0745033827,3480,0.8333333333,0.8333333333
rate_sensitive,continuous_history,sudden_burst,8203,160,98,1,98,11,20,0.9010416667,0.5,9,0.625,2,602.6375,1070,0.8333333333,10.3173230128,610.789809187,3480,0.8333333333,0.8333333333
rate_sensitive,continuous_history,burst_recovery,8203,160,85,1,85,11,20,0.9322916667,0.75,6,0.375,1,618.48125,1070,0.3333333333,5.8422365867,120.7342662263,3480,0.8333333333,0.8333333333
rate_sensitive,ordinary_summary,slow_drip,8203,160,161,0,,,20,0.9895833333,0.8333333333,1,0.0625,1,359.6625,531,0.1666666667,3.4550983982,37.9737373162,3480,1.0,1.0
rate_sensitive,ordinary_summary,steady_load,8203,160,161,0,,,20,0.9895833333,0.8333333333,1,0.0625,1,359.3875,531,0.1666666667,3.8769041021,45.3245033827,3480,1.0,1.0
rate_sensitive,ordinary_summary,sudden_burst,8203,160,61,1,61,9,20,0.9270833333,0.8333333333,7,0.4375,1,358.7,531,0.8333333333,10.3173230128,602.789809187,3480,0.8333333333,0.8333333333
rate_sensitive,ordinary_summary,burst_recovery,8203,160,161,0,,,20,0.9895833333,0.8333333333,1,0.0625,1,374.54375,531,0.3333333333,5.8422365867,111.9842662263,3480,1.0,1.0
rate_sensitive,verified_capsule,slow_drip,8203,160,132,1,132,17,20,0.9791666667,0.75,2,0.125,1,374.7875,551,0.1666666667,3.4550983982,40.2237373162,3480,1.0,1.0
rate_sensitive,verified_capsule,steady_load,8203,160,134,1,134,17,20,0.9791666667,0.75,2,0.125,1,374.5125,551,0.1666666667,3.8769041021,48.3245033827,3480,1.0,1.0
rate_sensitive,verified_capsule,sudden_burst,8203,160,139,1,139,17,20,0.9635416667,0.75,4,0.25,1,373.825,551,0.8333333333,10.3173230128,599.289809187,3480,1.0,1.0
rate_sensitive,verified_capsule,burst_recovery,8203,160,126,1,126,17,20,0.9635416667,0.75,4,0.25,1,389.66875,551,0.3333333333,5.8422365867,115.9842662263,3480,1.0,1.0
rate_disabled_null,continuous_history,slow_drip,8203,160,161,0,,,20,1.0,1.0,0,0.0,0,603.6,1070,0.1666666667,3.4550983982,34.4737373162,3480,1.0,1.0
rate_disabled_null,continuous_history,steady_load,8203,160,161,0,,,20,1.0,1.0,0,0.0,0,603.325,1070,0.1666666667,3.8769041021,42.5745033827,3480,1.0,1.0
rate_disabled_null,continuous_history,sudden_burst,8203,160,161,0,,,20,1.0,1.0,0,0.0,0,602.6375,1070,0.8333333333,10.3173230128,588.789809187,3480,1.0,1.0
rate_disabled_null,continuous_history,burst_recovery,8203,160,161,0,,,20,1.0,1.0,0,0.0,0,618.48125,1070,0.3333333333,5.8422365867,108.7342662263,3480,1.0,1.0
rate_disabled_null,ordinary_summary,slow_drip,8203,160,140,1,140,18,20,0.9270833333,0.6666666667,10,0.8125,2,359.6625,531,0.1666666667,3.4550983982,62.9737373162,3480,0.8333333333,0.6666666667
rate_disabled_null,ordinary_summary,steady_load,8203,160,140,1,140,18,20,0.9270833333,0.6666666667,10,0.8125,2,359.3875,531,0.1666666667,3.8769041021,71.5745033827,3480,0.8333333333,0.6666666667
rate_disabled_null,ordinary_summary,sudden_burst,8203,160,140,1,140,18,20,0.9583333333,0.6666666667,10,0.8125,2,358.7,531,0.8333333333,10.3173230128,619.039809187,3480,0.8333333333,0.6666666667
rate_disabled_null,ordinary_summary,burst_recovery,8203,160,140,1,140,18,20,0.9270833333,0.6666666667,10,0.8125,2,374.54375,531,0.3333333333,5.8422365867,138.9842662263,3480,0.8333333333,0.6666666667
rate_disabled_null,verified_capsule,slow_drip,8203,160,161,0,,,20,1.0,1.0,0,0.0,0,374.7875,551,0.1666666667,3.4550983982,34.4737373162,3480,1.0,1.0
rate_disabled_null,verified_capsule,steady_load,8203,160,161,0,,,20,1.0,1.0,0,0.0,0,374.5125,551,0.1666666667,3.8769041021,42.5745033827,3480,1.0,1.0
rate_disabled_null,verified_capsule,sudden_burst,8203,160,161,0,,,20,0.9947916667,0.9166666667,1,0.0625,1,373.825,551,0.8333333333,10.3173230128,593.289809187,3480,1.0,1.0
rate_disabled_null,verified_capsule,burst_recovery,8203,160,161,0,,,20,1.0,1.0,0,0.0,0,389.66875,551,0.3333333333,5.8422365867,108.7342662263,3480,1.0,1.0
rate_sensitive,continuous_history,slow_drip,8204,160,161,0,,,20,0.9895833333,0.8333333333,1,0.0625,1,613.5375,1100,0.1666666667,3.4160388891,36.1782096728,3510,1.0,1.0
rate_sensitive,continuous_history,steady_load,8204,160,161,0,,,20,0.9895833333,0.8333333333,1,0.0625,1,613.0125,1100,0.1666666667,3.6892845207,43.300662531,3510,1.0,1.0
rate_sensitive,continuous_history,sudden_burst,8204,160,161,0,,,20,0.9895833333,0.8333333333,1,0.0625,1,611.7,1100,0.8333333333,9.57555346,577.7957479787,3510,1.0,1.0
rate_sensitive,continuous_history,burst_recovery,8204,160,161,0,,,20,0.9791666667,0.8333333333,2,0.125,1,628.6,1100,0.3333333333,5.7750689577,107.3344310747,3510,1.0,1.0
rate_sensitive,ordinary_summary,slow_drip,8204,160,161,0,,,20,0.96875,0.8333333333,3,0.1875,1,364.4125,534,0.1666666667,3.4160388891,40.4282096728,3510,1.0,1.0
rate_sensitive,ordinary_summary,steady_load,8204,160,161,0,,,20,0.9895833333,0.8333333333,1,0.0625,1,363.8875,534,0.1666666667,3.6892845207,42.800662531,3510,1.0,1.0
rate_sensitive,ordinary_summary,sudden_burst,8204,160,21,1,21,4,20,0.9583333333,0.8333333333,4,0.25,1,362.575,534,0.8333333333,9.57555346,584.2957479787,3510,0.8333333333,0.8333333333
rate_sensitive,ordinary_summary,burst_recovery,8204,160,21,1,21,4,20,0.9895833333,0.8333333333,1,0.0625,1,379.475,534,0.3333333333,5.7750689577,106.5844310747,3510,1.0,1.0
rate_sensitive,verified_capsule,slow_drip,8204,160,12,1,12,2,20,0.9427083333,0.75,6,0.4375,2,379.5375,554,0.1666666667,3.4160388891,47.9282096728,3510,1.0,1.0
rate_sensitive,verified_capsule,steady_load,8204,160,14,1,14,2,20,0.9375,0.75,6,0.4375,2,379.0125,554,0.1666666667,3.6892845207,55.550662531,3510,1.0,1.0
rate_sensitive,verified_capsule,sudden_burst,8204,160,19,1,19,2,20,0.9010416667,0.5,6,0.625,2,377.7,554,0.8333333333,9.57555346,593.0457479787,3510,1.0,1.0
rate_sensitive,verified_capsule,burst_recovery,8204,160,6,1,6,2,20,0.9427083333,0.6666666667,5,0.4375,2,394.6,554,0.3333333333,5.7750689577,118.3344310747,3510,1.0,1.0
rate_disabled_null,continuous_history,slow_drip,8204,160,140,1,140,18,20,0.9427083333,0.75,5,0.3125,1,613.5375,1100,0.1666666667,3.4160388891,43.6782096728,3510,0.8333333333,0.8333333333
rate_disabled_null,continuous_history,steady_load,8204,160,140,1,140,18,20,0.9427083333,0.75,5,0.3125,1,613.0125,1100,0.1666666667,3.6892845207,52.050662531,3510,0.8333333333,0.8333333333
rate_disabled_null,continuous_history,sudden_burst,8204,160,140,1,140,18,20,0.9322916667,0.75,6,0.375,1,611.7,1100,0.8333333333,9.57555346,588.7957479787,3510,0.8333333333,0.8333333333
rate_disabled_null,continuous_history,burst_recovery,8204,160,140,1,140,18,20,0.9427083333,0.75,5,0.3125,1,628.6,1100,0.3333333333,5.7750689577,113.3344310747,3510,0.8333333333,0.8333333333
rate_disabled_null,ordinary_summary,slow_drip,8204,160,161,0,,,20,0.8854166666,0.8333333333,11,0.6875,1,364.4125,534,0.1666666667,3.4160388891,57.6782096728,3510,0.8333333333,0.8333333333
rate_disabled_null,ordinary_summary,steady_load,8204,160,161,0,,,20,0.8854166666,0.8333333333,11,0.6875,1,363.8875,534,0.1666666667,3.6892845207,65.050662531,3510,0.8333333333,0.8333333333
rate_disabled_null,ordinary_summary,sudden_burst,8204,160,161,0,,,20,0.8854166666,0.8333333333,11,0.6875,1,362.575,534,0.8333333333,9.57555346,599.2957479787,3510,0.8333333333,0.8333333333
rate_disabled_null,ordinary_summary,burst_recovery,8204,160,161,0,,,20,0.8854166666,0.8333333333,11,0.6875,1,379.475,534,0.3333333333,5.7750689577,127.0844310747,3510,0.8333333333,0.8333333333
rate_disabled_null,verified_capsule,slow_drip,8204,160,44,1,44,6,20,0.9375,0.75,5,0.375,2,379.5375,554,0.1666666667,3.4160388891,44.9282096728,3510,1.0,1.0
rate_disabled_null,verified_capsule,steady_load,8204,160,48,1,48,6,20,0.9375,0.75,5,0.375,2,379.0125,554,0.1666666667,3.6892845207,51.800662531,3510,1.0,1.0
rate_disabled_null,verified_capsule,sudden_burst,8204,160,58,1,58,6,20,0.953125,0.75,4,0.3125,2,377.7,554,0.8333333333,9.57555346,584.7957479787,3510,1.0,1.0
rate_disabled_null,verified_capsule,burst_recovery,8204,160,45,1,45,6,20,0.9375,0.75,5,0.375,2,394.6,554,0.3333333333,5.7750689577,115.8344310747,3510,1.0,1.0
rate_sensitive,continuous_history,slow_drip,8205,160,68,1,68,9,20,0.9270833333,0.75,7,0.5,2,583.75,1070,0.1666666667,3.4498291937,55.5358133427,3480,1.0,1.0
rate_sensitive,continuous_history,steady_load,8205,160,66,1,66,9,20,0.9166666667,0.75,8,0.5625,2,584.5625,1070,0.1666666667,3.852696998,70.3052375118,3480,1.0,1.0
rate_sensitive,continuous_history,sudden_burst,8205,160,61,1,61,9,20,0.9010416667,0.5,8,0.6875,3,586.59375,1070,0.8333333333,9.4343932564,593.6983404893,3480,1.0,1.0
rate_sensitive,continuous_history,burst_recovery,8205,160,61,1,61,9,20,0.921875,0.8333333333,8,0.5,1,599.59375,1070,0.3333333333,5.7891510219,125.2266011883,3480,1.0,1.0
rate_sensitive,ordinary_summary,slow_drip,8205,160,76,1,76,10,20,0.953125,0.6666666667,3,0.1875,1,355.3125,533,0.1666666667,3.4498291937,41.5358133427,3480,1.0,1.0
rate_sensitive,ordinary_summary,steady_load,8205,160,72,1,72,10,20,0.9947916667,0.9166666667,1,0.0625,1,356.125,533,0.1666666667,3.852696998,52.5552375118,3480,1.0,1.0
rate_sensitive,ordinary_summary,sudden_burst,8205,160,62,1,62,10,20,0.9947916667,0.9166666667,1,0.0625,1,358.15625,533,0.8333333333,9.4343932564,574.1983404893,3480,1.0,1.0
rate_sensitive,ordinary_summary,burst_recovery,8205,160,75,1,75,10,20,0.953125,0.6666666667,3,0.1875,1,371.15625,533,0.3333333333,5.7891510219,112.4766011883,3480,1.0,1.0
rate_sensitive,verified_capsule,slow_drip,8205,160,161,0,,,20,1.0,1.0,1,0.0625,1,370.4375,553,0.1666666667,3.4498291937,39.0358133427,3480,1.0,1.0
rate_sensitive,verified_capsule,steady_load,8205,160,161,0,,,20,1.0,1.0,1,0.0625,1,371.25,553,0.1666666667,3.852696998,52.3052375118,3480,1.0,1.0
rate_sensitive,verified_capsule,sudden_burst,8205,160,161,0,,,20,0.9895833333,0.9166666667,2,0.125,1,373.28125,553,0.8333333333,9.4343932564,574.1983404893,3480,1.0,1.0
rate_sensitive,verified_capsule,burst_recovery,8205,160,161,0,,,20,1.0,1.0,1,0.0625,1,386.28125,553,0.3333333333,5.7891510219,108.2266011883,3480,1.0,1.0
rate_disabled_null,continuous_history,slow_drip,8205,160,20,1,20,3,20,0.5729166667,0.4166666667,15,3.0625,4,583.75,1070,0.1666666667,3.4498291937,152.2858133427,3480,0.4166666667,0.3333333333
rate_disabled_null,continuous_history,steady_load,8205,160,20,1,20,3,20,0.5729166667,0.4166666667,15,3.0625,4,584.5625,1070,0.1666666667,3.852696998,167.5552375118,3480,0.4166666667,0.3333333333
rate_disabled_null,continuous_history,sudden_burst,8205,160,20,1,20,3,20,0.5572916667,0.4166666667,15,3.125,4,586.59375,1070,0.8333333333,9.4343932564,689.9483404893,3480,0.4166666667,0.3333333333
rate_disabled_null,continuous_history,burst_recovery,8205,160,20,1,20,3,20,0.5625,0.4166666667,16,3.125,4,599.59375,1070,0.3333333333,5.7891510219,224.4766011883,3480,0.4166666667,0.3333333333
rate_disabled_null,ordinary_summary,slow_drip,8205,160,60,1,60,8,20,0.8489583333,0.75,15,1.625,2,355.3125,533,0.1666666667,3.4498291937,95.7858133427,3480,0.75,0.6666666667
rate_disabled_null,ordinary_summary,steady_load,8205,160,60,1,60,8,20,0.8489583333,0.75,15,1.625,2,356.125,533,0.1666666667,3.852696998,110.0552375118,3480,0.75,0.6666666667
rate_disabled_null,ordinary_summary,sudden_burst,8205,160,60,1,60,8,20,0.8489583333,0.75,15,1.625,2,358.15625,533,0.8333333333,9.4343932564,629.9483404893,3480,0.75,0.6666666667
rate_disabled_null,ordinary_summary,burst_recovery,8205,160,60,1,60,8,20,0.8489583333,0.75,15,1.625,2,371.15625,533,0.3333333333,5.7891510219,164.4766011883,3480,0.75,0.6666666667
rate_disabled_null,verified_capsule,slow_drip,8205,160,161,0,,,20,0.96875,0.8333333333,3,0.1875,1,370.4375,553,0.1666666667,3.4498291937,44.2858133427,3480,1.0,1.0
rate_disabled_null,verified_capsule,steady_load,8205,160,161,0,,,20,0.96875,0.8333333333,3,0.1875,1,371.25,553,0.1666666667,3.852696998,57.5552375118,3480,1.0,1.0
rate_disabled_null,verified_capsule,sudden_burst,8205,160,161,0,,,20,0.9791666667,0.8333333333,2,0.125,1,373.28125,553,0.8333333333,9.4343932564,574.9483404893,3480,1.0,1.0
rate_disabled_null,verified_capsule,burst_recovery,8205,160,161,0,,,20,0.96875,0.8333333333,3,0.1875,1,386.28125,553,0.3333333333,5.7891510219,112.7266011883,3480,1.0,1.0
rate_sensitive,continuous_history,slow_drip,8206,160,148,1,148,19,20,0.9635416667,0.6666666667,4,0.25,1,613.175,1090,0.1666666667,3.4370359366,40.4082531893,3500,0.6666666667,0.8333333333
rate_sensitive,continuous_history,steady_load,8206,160,146,1,146,19,20,0.9635416667,0.6666666667,4,0.25,1,612.9125,1090,0.1666666667,3.8243892885,48.5326304006,3500,0.6666666667,0.8333333333
rate_sensitive,continuous_history,sudden_burst,8206,160,22,1,22,5,20,0.9479166667,0.6666666667,5,0.3125,1,612.25625,1090,0.8333333333,9.5563,583.1978147406,3500,0.6666666667,0.8333333333
rate_sensitive,continuous_history,burst_recovery,8206,160,141,1,141,19,20,0.953125,0.6666666667,5,0.3125,1,629.15625,1090,0.3333333333,5.807438411,120.7757587294,3500,0.6666666667,0.8333333333
rate_sensitive,ordinary_summary,slow_drip,8206,160,161,0,,,20,1.0,1.0,0,0.0,0,362.1125,530,0.1666666667,3.4370359366,35.9082531893,3500,1.0,1.0
