condition,policy,seed,cycles,violations,first_failure_cycle,n_f,final_active_unresolved,final_active_tips,max_active_unresolved,max_burial_depth,mean_top_decile_capture,mean_top_decile_expected_share,frontier_capture_lift,walker_attachment_count,walker_fallback_count,walker_fallback_rate,mean_walker_steps,largest_branch_share,branch_hhi,repair_attempts,repair_successes,repair_budget_used,recovery_probes,recovery_successes,recovery_rate,mean_recovery_cost,mean_recovery_depth,mean_interior_shielded_cycles,receipt_enabled
uniform_null,no_intervention,5157,48,16,31,31,48,26,48,6,0.1590909090909091,0.15507135650554055,0.004019552585368541,0,0,,,0.5208333333333334,0.46354166666666674,0,0,0,6,2,0.3333333333333333,4.0,4.333333333333333,14.772727272727273,0
uniform_null,logging_only,5157,48,16,31,31,48,26,48,6,0.1590909090909091,0.15507135650554055,0.004019552585368541,0,0,,,0.5208333333333334,0.46354166666666674,0,0,0,6,4,0.6666666666666666,5.5,4.333333333333333,14.772727272727273,1
uniform_null,random_repair,5157,48,16,40,40,37,22,37,6,0.13636363636363635,0.16469931325384551,-0.02833567689020916,0,0,,,0.9459459459459459,0.8962746530314097,12,11,12,6,4,0.6666666666666666,6.5,5.0,11.666666666666666,1
uniform_null,oldest_first,5157,48,16,40,40,37,23,37,7,0.13636363636363635,0.1645002544952762,-0.02813661813163984,0,0,,,0.9459459459459459,0.8962746530314097,12,11,12,6,4,0.6666666666666666,7.0,6.166666666666667,9.142857142857142,1
uniform_null,tip_targeted,5157,48,16,36,36,39,21,39,7,0.1590909090909091,0.1579875397108072,0.0011033693801018873,0,0,,,1.0,1.0,12,9,12,6,4,0.6666666666666666,6.5,6.0,13.944444444444445,1
least_capture_balancer,no_intervention,5157,48,16,31,31,48,4,48,15,0.9318181818181818,0.15507135650554055,0.7767468253126413,0,0,,,0.3333333333333333,0.2777777777777778,0,0,0,6,0,0.0,,11.0,23.0,0
least_capture_balancer,logging_only,5157,48,16,31,31,48,4,48,15,0.9318181818181818,0.15507135650554055,0.7767468253126413,0,0,,,0.3333333333333333,0.2777777777777778,0,0,0,6,2,0.3333333333333333,6.0,11.0,23.0,1
least_capture_balancer,random_repair,5157,48,16,40,40,38,10,38,15,0.7045454545454546,0.16383434293629992,0.5407111116091546,0,0,,,0.3157894736842105,0.25761772853185594,12,10,12,6,2,0.3333333333333333,6.0,11.166666666666666,15.892857142857142,1
least_capture_balancer,oldest_first,5157,48,16,36,36,39,4,39,15,0.9318181818181818,0.1625940443173118,0.7692241375008699,0,0,,,0.3076923076923077,0.2583826429980276,12,9,12,6,1,0.16666666666666666,4.0,11.5,18.314285714285713,1
least_capture_balancer,tip_targeted,5157,48,16,36,36,40,7,40,16,0.8181818181818182,0.16296158551167197,0.6552202326701463,0,0,,,0.65,0.48500000000000004,12,8,12,6,2,0.3333333333333333,6.0,11.833333333333334,21.0,1
diffusive_first_contact,no_intervention,5157,48,16,31,31,48,17,48,12,0.4318181818181818,0.15507135650554055,0.2767468253126413,44,0,0.0,228.3409090909091,0.5,0.3993055555555556,0,0,0,6,1,0.16666666666666666,3.0,8.166666666666666,20.612903225806452,0
diffusive_first_contact,logging_only,5157,48,16,31,31,48,17,48,12,0.4318181818181818,0.15507135650554055,0.2767468253126413,44,0,0.0,228.3409090909091,0.5,0.3993055555555556,0,0,0,6,2,0.3333333333333333,8.5,8.166666666666666,20.612903225806452,1
diffusive_first_contact,random_repair,5157,48,16,40,40,37,14,37,11,0.4090909090909091,0.1643970034561963,0.24469390563471283,44,0,0.0,243.3181818181818,0.5135135135135135,0.3834915997078159,12,11,12,6,2,0.3333333333333333,4.0,7.166666666666667,13.956521739130435,1
diffusive_first_contact,oldest_first,5157,48,16,40,40,37,13,37,11,0.29545454545454547,0.1641157952301361,0.13133875022440936,44,0,0.0,259.5,0.4864864864864865,0.37472607742878017,12,11,12,6,3,0.5,6.333333333333333,7.333333333333333,14.583333333333334,1
