run_family,mode,schedule,seed,cycles,n_f,failed,first_failure_cycle,mean_checkpoint_accuracy,final_config_accuracy,final_requirement_accuracy,unsafe_attempts,retry_count,repair_successes,total_tokens,subcritical_first_failure
amplitude_sweep,persistent_history,constant_medium,1010,20,7,1,7,0.75,0.5,0.33333333,10,3,1,5350,1
amplitude_sweep,prose_summary,constant_medium,1010,20,3,1,3,0.5,0.41666667,0.66666667,13,4,2,5284,1
amplitude_sweep,receipt_ancestry,constant_medium,1010,20,3,1,3,0.58333333,0.5,0.83333333,12,4,3,5673,1
amplitude_sweep,fresh_ground_truth,constant_high,1010,20,7,1,7,1.0,1.0,1.0,1,0,0,5960,1
amplitude_sweep,persistent_history,constant_high,1010,20,7,1,7,0.75,0.33333333,0.16666667,13,3,1,5574,1
amplitude_sweep,prose_summary,constant_high,1010,20,1,1,1,0.45833333,0.25,0.5,18,4,2,5444,0
amplitude_sweep,receipt_ancestry,constant_high,1010,20,3,1,3,0.60416667,0.58333333,0.83333333,15,4,3,5848,1
amplitude_sweep,fresh_ground_truth,constant_low,1111,20,21,0,,1.0,1.0,1.0,0,0,0,5650,0
amplitude_sweep,persistent_history,constant_low,1111,20,2,1,2,0.5625,0.5,0.5,19,4,1,5095,1
amplitude_sweep,prose_summary,constant_low,1111,20,2,1,2,0.5625,0.58333333,0.66666667,8,4,4,5134,1
amplitude_sweep,receipt_ancestry,constant_low,1111,20,15,1,15,0.83333333,0.66666667,0.66666667,3,2,2,5515,1
amplitude_sweep,fresh_ground_truth,constant_medium,1111,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
amplitude_sweep,persistent_history,constant_medium,1111,20,2,1,2,0.41666667,0.16666667,0.16666667,19,4,1,5330,1
amplitude_sweep,prose_summary,constant_medium,1111,20,2,1,2,0.54166667,0.58333333,0.66666667,12,4,4,5284,1
amplitude_sweep,receipt_ancestry,constant_medium,1111,20,5,1,5,0.75,0.58333333,0.66666667,6,3,3,5680,1
amplitude_sweep,fresh_ground_truth,constant_high,1111,20,21,0,,1.0,1.0,1.0,0,0,0,5940,0
amplitude_sweep,persistent_history,constant_high,1111,20,2,1,2,0.25,0.08333333,0.0,19,4,0,5534,1
amplitude_sweep,prose_summary,constant_high,1111,20,2,1,2,0.54166667,0.66666667,0.66666667,14,4,4,5424,1
amplitude_sweep,receipt_ancestry,constant_high,1111,20,5,1,5,0.72916667,0.58333333,0.66666667,9,3,3,5835,1
amplitude_sweep,fresh_ground_truth,constant_low,1212,20,2,1,2,0.95833333,0.83333333,0.83333333,1,1,1,5650,1
amplitude_sweep,persistent_history,constant_low,1212,20,10,1,10,0.64583333,0.41666667,0.33333333,5,3,2,5085,1
amplitude_sweep,prose_summary,constant_low,1212,20,2,1,2,0.60416667,0.5,0.5,12,4,3,5134,1
amplitude_sweep,receipt_ancestry,constant_low,1212,20,7,1,7,0.77083333,0.58333333,0.66666667,4,3,3,5515,1
amplitude_sweep,fresh_ground_truth,constant_medium,1212,20,2,1,2,0.95833333,0.83333333,0.83333333,1,1,1,5830,1
amplitude_sweep,persistent_history,constant_medium,1212,20,5,1,5,0.52083333,0.5,0.33333333,13,4,2,5360,1
amplitude_sweep,prose_summary,constant_medium,1212,20,2,1,2,0.54166667,0.33333333,0.33333333,17,4,3,5314,1
amplitude_sweep,receipt_ancestry,constant_medium,1212,20,2,1,2,0.60416667,0.58333333,0.66666667,14,4,3,5710,1
amplitude_sweep,fresh_ground_truth,constant_high,1212,20,2,1,2,1.0,1.0,1.0,1,0,0,5980,1
amplitude_sweep,persistent_history,constant_high,1212,20,5,1,5,0.54166667,0.66666667,0.5,13,4,2,5574,1
amplitude_sweep,prose_summary,constant_high,1212,20,2,1,2,0.58333333,0.5,0.33333333,17,4,3,5464,0
amplitude_sweep,receipt_ancestry,constant_high,1212,20,2,1,2,0.625,0.58333333,0.5,14,4,3,5875,1
amplitude_sweep,fresh_ground_truth,constant_low,1313,20,21,0,,1.0,1.0,1.0,0,0,0,5670,0
amplitude_sweep,persistent_history,constant_low,1313,20,10,1,10,0.8125,0.58333333,0.5,0,3,0,5125,1
amplitude_sweep,prose_summary,constant_low,1313,20,5,1,5,0.625,0.33333333,0.33333333,9,4,0,5154,1
amplitude_sweep,receipt_ancestry,constant_low,1313,20,15,1,15,0.83333333,0.58333333,0.5,1,2,1,5526,1
amplitude_sweep,fresh_ground_truth,constant_medium,1313,20,13,1,13,1.0,1.0,1.0,1,0,0,5810,1
amplitude_sweep,persistent_history,constant_medium,1313,20,5,1,5,0.75,0.66666667,0.66666667,14,4,1,5360,1
amplitude_sweep,prose_summary,constant_medium,1313,20,1,1,1,0.625,0.33333333,0.33333333,14,4,0,5294,1
amplitude_sweep,receipt_ancestry,constant_medium,1313,20,15,1,15,0.83333333,0.58333333,0.5,4,2,1,5690,1
amplitude_sweep,fresh_ground_truth,constant_high,1313,20,13,1,13,0.95833333,1.0,1.0,1,1,0,5960,1
amplitude_sweep,persistent_history,constant_high,1313,20,5,1,5,0.75,0.75,0.66666667,16,4,1,5604,1
amplitude_sweep,prose_summary,constant_high,1313,20,2,1,2,0.60416667,0.33333333,0.33333333,17,4,0,5444,1
amplitude_sweep,receipt_ancestry,constant_high,1313,20,12,1,12,0.83333333,0.58333333,0.5,8,2,1,5855,1
amplitude_sweep,fresh_ground_truth,constant_low,1414,20,21,0,,1.0,1.0,1.0,0,0,0,5640,0
amplitude_sweep,persistent_history,constant_low,1414,20,14,1,14,0.60416667,0.16666667,0.33333333,7,3,2,5095,1
amplitude_sweep,prose_summary,constant_low,1414,20,5,1,5,0.64583333,0.66666667,0.83333333,11,4,4,5124,1
amplitude_sweep,receipt_ancestry,constant_low,1414,20,8,1,8,0.75,0.75,0.66666667,6,3,2,5505,1
amplitude_sweep,fresh_ground_truth,constant_medium,1414,20,21,0,,1.0,1.0,1.0,0,0,0,5780,0
amplitude_sweep,persistent_history,constant_medium,1414,20,6,1,6,0.60416667,0.16666667,0.33333333,15,3,2,5330,1
amplitude_sweep,prose_summary,constant_medium,1414,20,3,1,3,0.625,0.66666667,0.83333333,18,4,4,5264,1
amplitude_sweep,receipt_ancestry,constant_medium,1414,20,8,1,8,0.77083333,0.75,0.66666667,8,3,2,5660,1
amplitude_sweep,fresh_ground_truth,constant_high,1414,20,21,0,,1.0,1.0,1.0,0,0,0,5940,0
amplitude_sweep,persistent_history,constant_high,1414,20,5,1,5,0.47916667,0.16666667,0.16666667,15,4,3,5554,1
amplitude_sweep,prose_summary,constant_high,1414,20,3,1,3,0.6875,0.83333333,0.83333333,17,4,4,5424,0
