condition,policy,seed,cycle,tip_id,tip_depth,receipt_used,success,recovery_cost,failure_reason
uniform_null,logging_only,5104,40,un-5104-033,6,1,1,7,
uniform_null,logging_only,5104,48,un-5104-033,6,1,1,7,
uniform_null,random_repair,5104,8,un-5104-007,4,1,1,5,
uniform_null,random_repair,5104,16,un-5104-011,5,1,1,6,
uniform_null,random_repair,5104,24,un-5104-018,5,1,1,6,
uniform_null,random_repair,5104,32,un-5104-031,5,1,1,6,
uniform_null,random_repair,5104,40,un-5104-040,6,1,1,7,
uniform_null,random_repair,5104,48,un-5104-046,7,1,1,8,
uniform_null,oldest_first,5104,8,un-5104-007,3,1,1,4,
uniform_null,oldest_first,5104,16,un-5104-015,3,1,1,4,
uniform_null,oldest_first,5104,24,un-5104-018,4,1,1,5,
uniform_null,oldest_first,5104,32,un-5104-031,5,1,1,6,
uniform_null,oldest_first,5104,40,un-5104-031,5,1,0,2,receipt_reference_unavailable
uniform_null,oldest_first,5104,48,un-5104-031,5,1,1,6,
uniform_null,tip_targeted,5104,8,un-5104-007,4,1,0,3,receipt_reference_unavailable
uniform_null,tip_targeted,5104,16,un-5104-007,4,1,0,4,receipt_reference_unavailable
uniform_null,tip_targeted,5104,24,un-5104-021,6,1,1,7,
uniform_null,tip_targeted,5104,32,un-5104-032,7,1,1,8,
uniform_null,tip_targeted,5104,40,un-5104-033,7,1,0,5,receipt_reference_unavailable
uniform_null,tip_targeted,5104,48,un-5104-041,7,1,0,3,receipt_reference_unavailable
least_capture_balancer,no_intervention,5104,8,le-5104-008,7,0,0,3,visible_parent_lost
least_capture_balancer,no_intervention,5104,16,le-5104-015,14,0,0,1,visible_parent_lost
least_capture_balancer,no_intervention,5104,24,le-5104-015,14,0,0,1,visible_parent_lost
least_capture_balancer,no_intervention,5104,32,le-5104-015,14,0,0,1,visible_parent_lost
least_capture_balancer,no_intervention,5104,40,le-5104-015,14,0,0,1,visible_parent_lost
least_capture_balancer,no_intervention,5104,48,le-5104-015,14,0,0,1,visible_parent_lost
least_capture_balancer,logging_only,5104,8,le-5104-008,7,1,0,7,receipt_reference_unavailable
least_capture_balancer,logging_only,5104,16,le-5104-015,14,1,0,12,receipt_reference_unavailable
least_capture_balancer,logging_only,5104,24,le-5104-015,14,1,0,13,recovery_budget_exhausted
least_capture_balancer,logging_only,5104,32,le-5104-015,14,1,0,13,recovery_budget_exhausted
